BM.1,BM.2,BM.3,BM.50.1,BM.50.2,BM.50.3
40269,40262,40371,40270,40598,40020
40485.5,40460.5,40689,45008,44955,44736
35335,35451,35414,43370,43505,43505
29962,30115.5,29880.5,40308,40631.5,40469
26003.5,25593,25708,38099,38283,38117
23275,22704,22814.5,36793.5,36676,36914.5
21035.5,20595,20927,35800,35741,35829
19341.5,18859.5,19574,34835.5,34845.5,35177.5
17942,17684.5,18441,34333.5,34343,34593.5
16990.5,16322,17533.5,34130,33803.5,34149.5
16341.5,15700.5,16843.5,33877,33837,33986.5
15597.5,14956,16634,34011,33891,33712.5
15084.5,14654,16210.5,34140.5,34112,33650.5
14716.5,14649.5,16568,34213.5,34087,33426.5
14490.5,15380,16889.5,34081.5,33801,33410.5
14377,15998,17123,33811,33697,33583.5
14638,17018,17997,33695,33564,33590
15218.5,18423,18569.5,33523,33584,33435.5
16212,20430.5,19460.5,33516.5,33655,33432
17594.5,23034.5,20711,33507.5,33842.5,33482.5
19316.5,25055,22580,33250,34272.5,33470
20979,26767,24309.5,33254,34313,33633
22682,28065,25685.5,33424,34310,33525.5
24262,29348.5,26900.5,33313,34333.5,33431.5
25387.5,30559,27792.5,33394.5,34317,33463.5
26647,31410,28663.5,33491,34286.5,33785
27613,32021,29276,33762.5,34336,33920.5
28340.5,32172.5,29937,33665,34263.5,34274
28887,32257,30500,33860,34241,34238.5
29248,32481.5,31199,33589,34002,33752.5
29613,32724,31551,33164,33803,33595.5
29898.5,32971.5,31902.5,32768,33834,33736.5
30030,33151.5,32334.5,32641.5,33606,33556
30431,33070.5,32684.5,32859.5,33757,33346.5
30498.5,33015.5,32656.5,32983,33867,33408.5
30839.5,32826,32584,33292,33859,33418.5
30920,32608,32521,33282.5,33749,33591.5
30845.5,32322,32693,33401.5,33783,33613
30740.5,32254,32732.5,33263,33630.5,33726
30505.5,31835,32770,33372.5,33709.5,33988
30203,31382.5,32516.5,33363.5,33560,33954.5
29735.5,30777.5,32066,33194.5,33544,33880.5
29556.5,30514,31780,33181.5,33618.5,33666
29605.5,30217,31314.5,33374,33596,33536
29707.5,29976.5,31037,33514.5,33594.5,33561.5
29593,29787.5,30794.5,33446,33495,33208.5
29296.5,29330.5,30577,33250,33318.5,33204
29135,29296.5,30127,33239,33498,33037
28864,29269.5,29688,33293,33784.5,33211
28438.5,29146.5,29194,33385,34117,33318.5
28531,29104,28797,33479,33995.5,33465
28042,28344.5,28607.5,33456,33879.5,33424
27811.5,27571,28412.5,33658,33863.5,33621.5
27816.5,27024.5,27799.5,33853,33741.5,33750.5
27363,26565,27498.5,33497,33672.5,34081
27043.5,26230.5,27807,33366.5,33394,34240
26859,25616.5,27939,33286,33058,34175
26556,25269,28167.5,33491.5,33093,34051.5
26766,25229.5,28108.5,33405.5,33088.5,34012.5
27043,24938.5,28004.5,33376.5,32900.5,34233
27135,24665.5,27786.5,33447.5,33073,34443
27514.5,24284.5,27456,33534.5,33384,34475
27609.5,23738.5,27481.5,33366,33595.5,34405
27141.5,23368,27044,33246,33782.5,34309.5
26840,23079.5,26332.5,33136,33865,33947.5
26600,22851.5,25747.5,33435,33527,33579.5
26371.5,22736.5,25358,33748,33481.5,33445
26032,22703.5,25240,33804,33451.5,33420
25442.5,22592.5,25461,33660.5,33594,33734.5
25157.5,22463,25320,33656,33761,33701.5
24938,22739.5,24881,33639.5,33817.5,33697.5
25122,22687,24731,33441.5,33736.5,33380
25540.5,22501,24493,33313,33745,33260.5
25704,22384.5,24319.5,33359,34051.5,33095
25412.5,22354,23973.5,33450.5,33976.5,32958
25319.5,22356,23797.5,33547.5,33523,32949
25467,22576.5,23585.5,33680.5,33174,33083
25337.5,22669.5,23750.5,33425.5,32971.5,33202.5
25414.5,23373,23545.5,33109,32840.5,33202.5
24968.5,23846.5,23579.5,32855,32678,32950
24333.5,23911,23492.5,32866,32655,33109.5
24176,24289,23350,33168,32806,33222
24109.5,24588.5,23577.5,33542,32957,32966.5
24018.5,24599.5,23316,33506.5,33158,33180
24123,24420,22829.5,33244.5,33476,33316.5
23974,24397.5,22429.5,33223,33428,33157.5
23576.5,24632.5,22358.5,32975.5,33526.5,33170
23363.5,24921,22056,32788,33234.5,32730
23590,24894,21431.5,32746.5,33309,32817
23574,24741,20933,32700.5,33388,32591.5
23549.5,24582,20736.5,32939.5,33505,32823.5
23393,24096.5,21179,33024.5,33556,33132.5
23199.5,23851.5,21454.5,32734.5,33707,33299.5
22992,23715,21762,32704.5,33556.5,33260
23019.5,23584.5,21618.5,32780.5,33375,33299.5
22720,23795,21426.5,32820,33145.5,32985
22523.5,23451.5,21345.5,32637,32773,33052.5
22325.5,23439.5,21332.5,32506.5,32601,33090
21907,23253.5,21457.5,32410,32366.5,33208
21562.5,22936.5,21757,32449.5,32332.5,33228
21320.5,22440,22201,32600.5,32466.5,32974.5
21045,21634,22910,32491.5,32536,32862.5
20944,21528,23209.5,32410,32586.5,32873.5
20303.5,21460.5,22907.5,32377.5,32607,32833.5
20771.5,21320,22690,32210,32673.5,32989
20980.5,21021,22446,32295,32867,33139
20600,20890.5,22205.5,32531,32895,33229
20496,20439,22188.5,32814,33042,33159
20287.5,20501.5,22111,32949,33097,32836
19779,20040.5,22170,33027,33108,32897
19192.5,19249.5,21890.5,32788,32936.5,32765
18405.5,18569.5,21517,32717.5,32763.5,32789
18033,17960.5,21321,32777,32916,32838
17591,17564.5,21552.5,32824.5,32878,33089
17402,17779.5,21840.5,32878,32820.5,33176.5
17354,18364,21792,32796.5,33029.5,33007
16932,18764,21645,32626,33284,32998.5
17069.5,18941.5,21533.5,32227.5,33263,32866
16907.5,19083.5,21453,32265,33410.5,32780.5
17140.5,19666,21170.5,32180,33443,32487
17293,19946,20659,32125.5,33395,32371.5
17301,19938.5,20169.5,31998,33351.5,32672.5
16924.5,20275,19477.5,31932,33458,33045.5
16653,20865,19013,32020.5,33505,33139
16340.5,21157,18787.5,32240.5,33525,32997
,21284.5,18894,32532,33362.5,33032
,21479,19085,32698,33250,33140.5
,21723,19459.5,32577,33194.5,33365.5
,21594.5,19710.5,32773,33139,33612.5
,21566.5,19778.5,32822.5,33290.5,33596
,21386,19861,32778,33315.5,33293.5
,21042.5,20034.5,32871.5,33236.5,33288
,20486.5,19974.5,32673,33021,33021.5
,20433,19775.5,32301,33030.5,32859.5
,20575.5,19718,32201.5,33072.5,32698
,20622.5,19699.5,32354.5,33313,32376.5
,20659,19629,32445.5,33277,32753
,20330,19676.5,32947,33296,32904.5
,,19589,32964,33189.5,33127.5
,,19758.5,33091.5,33252.5,33607.5
,,19769.5,33063.5,33204.5,33725.5
,,19704.5,32907,33347.5,33839.5
,,19556.5,32780,33318,33837.5
,,18936,33025.5,33007,33864
,,18536.5,32966,32743,33536
,,17926.5,33227,32843.5,33179.5
,,17722,33578.5,32711.5,33123.5
,,,33427,33054.5,32745
,,,33431.5,33185,32825
,,,33595,32883,33074.5
,,,33407,33072,33296
,,,33220,33213,33535
,,,33021.5,33123.5,33590
,,,33031.5,33168.5,33615.5
,,,32890.5,32928,33453.5
,,,33155.5,32909,33136.5
,,,33187,32867.5,32899
,,,33185.5,32847.5,32567
,,,33408,32996.5,32676.5
,,,33277.5,33044,32825.5
,,,33212.5,33156,32961
,,,33280.5,33067.5,33025.5
,,,33487,33246.5,32976
,,,33585,33055.5,33064
,,,33547.5,33232.5,33043
,,,33483,33266.5,33078.5
,,,33164.5,33363,33009.5
,,,33029.5,33193.5,33048.5
,,,32682,33228.5,32957
,,,32712,33430.5,32765
,,,32742,33573,
,,,,33528,
,,,,33438,
,,,,33471.5,
,,,,33423.5,
,,,,33323.5,
,,,,33208,
,,,,32996,
,,,,32882.5,